187,2022-11-20,2,5,45~65,28,36,68~101,Fair
188,2022-11-20,5,3,23~44,13,51,68~101,Good
189,2022-11-20,2,6,45~65,35,50,68~101,Fair
190,2022-11-20,2,5,45~65,22,51,68~101,Good
191,2022-11-20,5,3,45~65,22,54,68~101,Good
192,2022-11-20,5,3,45~65,22,58,34~67,Good
193,2022-11-20,8,5,45~65,27,50,68~101,Good
194,2022-11-20,8,2,23~44,20,49.07818,34~67,Very Good
195,2022-11-20,2,5,45~65,17,45,34~67,Good
196,2022-11-20,5,3,45~65,18,48,34~67,Good
197,2022-11-20,8,2,45~65,18,43,34~67,Good
198,2022-11-20,5,5,45~65,25,58,68~101,Good
199,2022-11-20,0,5,23~44,35,54,34~67,Good
200,2022-11-20,10,5,45~65,20,44,34~67,Very Good
201,2022-11-20,12,3,23~44,30,49.07818,34~67,Very Good
202,2022-11-20,2,3,23~44,27,43,34~67,Good
203,2022-11-20,2,3,23~44,45,44,34~67,Good
204,2022-11-20,2,5,23~44,45,44,34~67,Very Good
205,2022-11-20,2,5,23~44,40,44,34~67,Very Good
206,2022-11-20,2,3,23~44,38,43,34~67,Very Good
207,2022-11-20,8,3,23~44,30,30,34~67,Very Good
208,2022-11-20,2,2,1~22,15,42,34~67,Very Good
209,2022-11-20,8,3,23~44,30,38,34~67,Very Good
210,2022-11-20,5,3,23~44,28,49.07818,0~33,Very Good
211,2022-11-20,5,2,1~22,32,35,0~33,Very Good
212,2022-11-20,2,2,1~22,12,35,34~67,Very Good
213,2022-11-20,2,2,1~22,20,37,0~33,Very Good
214,2022-11-20,2,2,1~22,22,34,0~33,Very Good
215,2022-11-20,2,2,1~22,35,34,0~33,Very Good
216,2022-11-20,15,1,1~22,18,39,0~33,Very Good
217,2022-11-20,10,1,1~22,33,37,0~33,Very Good
218,2022-11-20,10,3,1~22,20,33,0~33,Very Good
219,2022-11-20,5,6,23~44,47,49.07818,0~33,Very Good
220,2022-11-20,5,2,23~44,28,31,0~33,Very Good
221,2022-11-20,2,2,1~22,17,33,0~33,Very Good
222,2022-11-20,2,2,1~22,30,31,0~33,Very Good
223,2022-11-20,5,3,1~22,28,29,0~33,Very Good
224,2022-11-20,2,2,1~22,18,37,0~33,Very Good
225,2022-11-20,2,3,1~22,20,34,0~33,Very Good
226,2022-11-20,0,1,1~22,15,35,0~33,Very Good
227,2022-11-20,2,3,1~22,23,35,0~33,Very Good
228,2022-11-20,2,2,1~22,18,34,0~33,Very Good
229,2022-11-20,2,3,1~22,30,30,0~33,Very Good
230,2022-11-20,2,2,1~22,17,34,0~33,Very Good
231,2022-11-20,0,2,1~22,17,34,0~33,Very Good
232,2022-11-20,0,2,23~44,18,37,0~33,Very Good
233,2022-11-20,5,2,1~22,33,35,0~33,Very Good
234,2022-11-20,2,3,1~22,32,36,0~33,Very Good
235,2022-11-19,5,3,23~44,23,50,34~67,Good
236,2022-11-19,0,1,23~44,8,47,0~33,Very Good
237,2022-11-19,5,3,45~65,22,49.07818,34~67,Good
238,2022-11-19,2,1,1~22,7,23,0~33,Very Good
239,2022-11-19,0,1,23~44,7,50,0~33,Good
240,2022-11-19,20,3,23~44,52,64,34~67,Good
241,2022-11-19,12,2,23~44,15,44,34~67,Very Good
242,2022-11-19,5,5,23~44,22,90,34~67,Fair
243,2022-11-19,32,10,66~87,56,49.07818,102~135,Fair
244,2022-11-19,2,5,1~22,27,49.07818,0~33,Very Good
245,2022-11-19,2,3,45~65,25,80,68~101,Good
246,2022-11-19,2,8,23~44,55,49.07818,34~67,Good
247,2022-11-19,0,10,1~22,53,49.07818,0~33,Good
248,2022-11-19,2,2,1~22,17,35,0~33,Very Good
249,2022-11-19,2,2,1~22,12,37,0~33,Very Good
250,2022-11-19,2,1,1~22,2,39,0~33,Very Good
251,2022-11-19,2,2,1~22,12,36,0~33,Very Good
252,2022-11-19,0,2,1~22,13,31,0~33,Very Good
253,2022-11-19,0,1,1~22,2,31,0~33,Very Good
254,2022-11-19,15,5,45~65,20,151,68~101,Poor
255,2022-11-19,8,6,45~65,45,150,102~135,Poor
256,2022-11-19,25,7,66~87,72,61,102~135,Fair
257,2022-11-19,22,8,66~87,58,49.07818,102~135,Fair
258,2022-11-19,20,8,66~87,47,101,102~135,Poor
259,2022-11-19,8,6,66~87,38,100,102~135,Fair
260,2022-11-19,12,6,45~65,35,108,68~101,Fair
261,2022-11-19,20,6,66~87,45,108,68~101,Fair
262,2022-11-19,45,8,45~65,63,93,102~135,Fair
263,2022-11-19,20,9,45~65,47,49.07818,102~135,Fair
264,2022-11-19,20,6,45~65,45,93,102~135,Fair
265,2022-11-19,12,5,66~87,25,97,102~135,Fair
266,2022-11-19,5,3,23~44,15,93,68~101,Fair
267,2022-11-19,5,8,45~65,42,74,102~135,Fair
268,2022-11-19,2,5,45~65,20,74,102~135,Fair
269,2022-11-19,5,3,45~65,22,84,68~101,Fair
270,2022-11-19,2,5,45~65,22,84,68~101,Fair
271,2022-11-19,15,5,66~87,30,71,68~101,Fair
272,2022-11-19,5,3,23~44,18,49.07818,34~67,Good
273,2022-11-19,5,3,45~65,18,50,68~101,Fair
274,2022-11-19,8,3,66~87,18,49,68~101,Fair
275,2022-11-19,5,5,45~65,27,43,68~101,Good
276,2022-11-19,8,5,66~87,27,67,68~101,Fair
277,2022-11-19,2,5,45~65,30,80,68~101,Good
278,2022-11-19,10,3,45~65,20,43,34~67,Good
279,2022-11-19,12,3,23~44,33,49.07818,34~67,Very Good
280,2022-11-19,5,5,23~44,38,43,34~67,Good
281,2022-11-19,2,3,23~44,38,44,34~67,Good
282,2022-11-19,0,5,23~44,48,44,34~67,Good
283,2022-11-19,2,6,45~65,38,47,34~67,Good
284,2022-11-19,2,3,23~44,25,44,34~67,Very Good
285,2022-11-19,5,2,23~44,18,31,34~67,Very Good
286,2022-11-19,2,2,23~44,13,43,34~67,Good
287,2022-11-19,8,3,23~44,35,41,34~67,Very Good
288,2022-11-19,8,3,23~44,32,49.07818,0~33,Very Good
289,2022-11-19,2,3,23~44,33,38,0~33,Very Good
290,2022-11-19,2,2,23~44,23,40,34~67,Very Good
291,2022-11-19,5,2,1~22,20,41,0~33,Very Good
292,2022-11-19,5,3,1~22,32,38,0~33,Very Good
293,2022-11-19,2,3,23~44,38,35,34~67,Very Good
294,2022-11-19,12,1,23~44,37,43,0~33,Very Good
295,2022-11-19,10,1,23~44,40,40,0~33,Very Good
296,2022-11-19,8,5,1~22,30,35,34~67,Very Good
297,2022-11-19,5,7,23~44,48,49.07818,0~33,Very Good
298,2022-11-19,5,3,23~44,35,34,0~33,Very Good
299,2022-11-19,2,2,1~22,23,33,0~33,Very Good
300,2022-11-19,5,3,1~22,33,32,0~33,Very Good
301,2022-11-19,2,3,1~22,32,29,0~33,Very Good
302,2022-11-19,5,2,1~22,13,36,0~33,Very Good
303,2022-11-19,5,5,1~22,30,37,0~33,Very Good
304,2022-11-19,2,2,1~22,20,33,0~33,Very Good
305,2022-11-19,2,3,1~22,22,36,0~33,Very Good
306,2022-11-19,2,2,1~22,18,35,0~33,Very Good
307,2022-11-19,2,5,1~22,38,33,0~33,Very Good
308,2022-11-19,5,3,1~22,25,36,0~33,Very Good
309,2022-11-19,2,2,1~22,18,35,0~33,Very Good
310,2022-11-19,0,2,23~44,28,37,0~33,Very Good
311,2022-11-19,10,3,1~22,43,35,0~33,Very Good
312,2022-11-19,0,5,1~22,42,31,0~33,Very Good
313,2022-11-18,10,3,23~44,32,54,34~67,Good
314,2022-11-18,0,1,23~44,3,50,0~33,Good
315,2022-11-18,12,5,45~65,30,49.07818,34~67,Good
316,2022-11-18,2,1,1~22,12,18,0~33,Very Good
317,2022-11-18,0,2,1~22,5,51,0~33,Good
318,2022-11-18,5,5,23~44,30,64,34~67,Good
319,2022-11-18,0,2,1~22,10,50,34~67,Good
320,2022-11-18,2,5,23~44,30,67,34~67,Good
321,2022-11-18,10,9,45~65,55,49.07818,68~101,Fair
322,2022-11-18,2,10,1~22,37,49.07818,0~33,Very Good
323,2022-11-18,2,3,23~44,28,87,34~67,Fair
324,2022-11-18,2,9,23~44,54,49.07818,34~67,Good
325,2022-11-18,5,12,1~22,57,49.07818,0~33,Good
326,2022-11-18,2,2,1~22,27,31,0~33,Very Good
327,2022-11-18,0,2,1~22,13,37,0~33,Very Good
328,2022-11-18,2,2,1~22,2,42,0~33,Very Good
329,2022-11-18,2,2,1~22,27,36,0~33,Very Good
330,2022-11-18,0,2,1~22,17,26,0~33,Very Good
331,2022-11-18,0,1,1~22,0,31,0~33,Very Good
332,2022-11-18,8,3,23~44,25,101,68~101,Fair
333,2022-11-18,12,6,45~65,40,126,68~101,Poor
334,2022-11-18,10,6,45~65,53,93,68~101,Fair
335,2022-11-18,12,8,45~65,57,49.07818,68~101,Fair
336,2022-11-18,5,6,45~65,38,112,102~135,Fair
337,2022-11-18,5,6,45~65,50,104,68~101,Fair
338,2022-11-18,5,5,66~87,42,122,68~101,Poor
339,2022-11-18,8,5,66~87,43,143,68~101,Poor
340,2022-11-18,38,7,45~65,54,80,68~101,Fair
341,2022-11-18,8,9,45~65,52,49.07818,68~101,Fair
342,2022-11-18,22,6,45~65,52,97,68~101,Fair
343,2022-11-18,5,5,45~65,42,104,102~135,Fair
344,2022-11-18,5,5,45~65,22,100,68~101,Fair
345,2022-11-18,2,8,45~65,40,45,68~101,Fair
346,2022-11-18,5,5,45~65,23,54,68~101,Fair
347,2022-11-18,5,3,45~65,23,61,68~101,Fair
348,2022-11-18,8,5,66~87,23,61,68~101,Fair
349,2022-11-18,20,6,66~87,32,61,68~101,Fair
350,2022-11-18,10,3,23~44,27,49.07818,34~67,Good
351,2022-11-18,5,5,45~65,28,50,68~101,Good
352,2022-11-18,8,5,66~87,28,54,68~101,Fair
353,2022-11-18,8,5,66~87,35,45,68~101,Fair
354,2022-11-18,8,5,45~65,32,64,68~101,Good
355,2022-11-18,2,5,23~44,52,54,34~67,Good
356,2022-11-18,10,6,45~65,33,45,34~67,Good
357,2022-11-18,12,5,45~65,35,49.07818,34~67,Good
358,2022-11-18,2,5,45~65,35,44,34~67,Good
359,2022-11-18,2,3,23~44,32,46,34~67,Good
360,2022-11-18,2,5,23~44,38,43,34~67,Good
361,2022-11-18,2,6,45~65,52,47,34~67,Good
362,2022-11-18,2,3,23~44,30,44,34~67,Good
363,2022-11-18,2,3,23~44,27,35,34~67,Very Good
364,2022-11-18,2,3,23~44,23,44,34~67,Good
365,2022-11-18,8,3,23~44,45,40,34~67,Good
366,2022-11-18,10,3,23~44,32,49.07818,34~67,Very Good
367,2022-11-18,5,3,23~44,32,36,34~67,Very Good
368,2022-11-18,2,2,23~44,20,35,34~67,Very Good
369,2022-11-18,5,2,23~44,25,38,0~33,Very Good
370,2022-11-18,5,3,1~22,28,31,0~33,Very Good
371,2022-11-18,2,5,23~44,38,33,34~67,Very Good
372,2022-11-18,20,1,23~44,17,43,0~33,Very Good
373,2022-11-18,28,2,23~44,48,38,0~33,Very Good
374,2022-11-18,8,3,23~44,33,33,34~67,Very Good
375,2022-11-18,2,9,23~44,54,49.07818,0~33,Good
376,2022-11-18,5,3,23~44,47,30,0~33,Very Good
377,2022-11-18,2,3,1~22,40,30,0~33,Very Good
378,2022-11-18,10,5,1~22,48,30,0~33,Very Good
379,2022-11-18,2,6,1~22,45,27,0~33,Very Good
380,2022-11-18,2,3,1~22,38,37,0~33,Very Good
381,2022-11-18,0,5,1~22,33,37,0~33,Very Good
382,2022-11-18,2,2,1~22,22,33,0~33,Very Good
383,2022-11-18,2,6,1~22,48,33,0~33,Very Good
384,2022-11-18,2,5,23~44,50,34,0~33,Good
385,2022-11-18,5,5,1~22,38,31,0~33,Very Good
